Description	
Number of Runs	0
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1120
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Distance	Date/Time
1	1120	911	10	0	04/28/22 04:05:56 PM	
2	1120	5	10	1	04/28/22 04:06:28 PM	
6	1120	15	10	0.71	04/28/22 04:19:31 PM	
7	1120	11	10	0.75	04/28/22 04:21:13 PM	
8	1120	91	10	0.538	04/28/22 04:26:41 PM	
9	1120	135	10	0.49	04/28/22 04:27:37 PM	
10	1120	66	10	0.64	04/28/22 04:29:38 PM	
11	1120	40	10	0.698	04/28/22 04:31:38 PM	
12	1120	7	10	0.788	04/28/22 04:35:17 PM	
13	1120	3	10	0.784	04/28/22 04:37:23 PM	
14	1120	22	10	0.722	04/28/22 04:40:01 PM	
15	1120	1100	10	-0.15	04/28/22 04:41:37 PM	
16	1120	739	10	0.098	04/28/22 04:42:41 PM	
19	1120	234	10	0.392	04/28/22 04:50:52 PM	
20	1120	516	10	0.19	04/28/22 04:52:29 PM	
21	1120	432	10	0.292	04/28/22 04:53:35 PM	
