Description	
Number of Runs	0
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1120
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1120	3435	10	04/28/22 03:34:15 PM	
2	1120	1909	10	04/28/22 03:34:32 PM	
3	1120	1177	10	04/28/22 03:34:48 PM	
4	1120	780	10	04/28/22 03:35:04 PM	
5	1120	571	10	04/28/22 03:35:22 PM	
6	1120	409	10	04/28/22 03:35:40 PM	
7	1120	364	10	04/28/22 03:35:55 PM	
8	1120	258	10	04/28/22 03:37:05 PM	
9	1120	237	10	04/28/22 03:37:21 PM	
10	1120	188	10	04/28/22 03:37:39 PM	
