Description	
Number of Runs	0
Preset Time	20
Pause Time	0
Alarm Level	0
High Voltage	1120
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1120	3369	20	04/28/22 03:47:08 PM	
3	1120	1241	20	04/28/22 03:46:13 PM	
4	1120	786	20	04/28/22 03:45:46 PM	
2	1120	1980	20	04/28/22 03:46:41 PM	
5	1120	549	20	04/28/22 03:45:20 PM	
6	1120	396	20	04/28/22 03:44:55 PM	
7	1120	299	20	04/28/22 03:44:29 PM	
8	1120	254	20	04/28/22 03:44:01 PM	
9	1120	231	20	04/28/22 03:43:17 PM	
10	1120	177	20	04/28/22 03:42:45 PM	
