Description	
Number of Runs	150
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	1	10	04/28/22 03:32:07 PM	
2	1000	0	10	04/28/22 03:32:17 PM	
3	1000	7	10	04/28/22 03:32:27 PM	
4	1000	3	10	04/28/22 03:32:37 PM	
5	1000	2	10	04/28/22 03:32:48 PM	
6	1000	4	10	04/28/22 03:32:58 PM	
7	1000	3	10	04/28/22 03:33:08 PM	
8	1000	3	10	04/28/22 03:33:18 PM	
9	1000	1	10	04/28/22 03:33:28 PM	
10	1000	6	10	04/28/22 03:33:39 PM	
11	1000	1	10	04/28/22 03:33:49 PM	
12	1000	1	10	04/28/22 03:33:59 PM	
13	1000	1	10	04/28/22 03:34:09 PM	
14	1000	2	10	04/28/22 03:34:20 PM	
15	1000	0	10	04/28/22 03:34:30 PM	
16	1000	3	10	04/28/22 03:34:40 PM	
17	1000	1	10	04/28/22 03:34:50 PM	
18	1000	3	10	04/28/22 03:35:00 PM	
19	1000	1	10	04/28/22 03:35:10 PM	
20	1000	2	10	04/28/22 03:35:21 PM	
21	1000	4	10	04/28/22 03:35:31 PM	
22	1000	1	10	04/28/22 03:35:41 PM	
23	1000	1	10	04/28/22 03:35:51 PM	
24	1000	6	10	04/28/22 03:36:02 PM	
25	1000	3	10	04/28/22 03:36:12 PM	
26	1000	3	10	04/28/22 03:36:22 PM	
27	1000	2	10	04/28/22 03:36:32 PM	
28	1000	4	10	04/28/22 03:36:43 PM	
29	1000	2	10	04/28/22 03:36:53 PM	
30	1000	5	10	04/28/22 03:37:03 PM	
31	1000	3	10	04/28/22 03:37:13 PM	
32	1000	3	10	04/28/22 03:37:23 PM	
33	1000	4	10	04/28/22 03:37:34 PM	
34	1000	5	10	04/28/22 03:37:44 PM	
35	1000	1	10	04/28/22 03:37:54 PM	
36	1000	1	10	04/28/22 03:38:04 PM	
37	1000	4	10	04/28/22 03:38:14 PM	
38	1000	4	10	04/28/22 03:38:25 PM	
39	1000	6	10	04/28/22 03:38:35 PM	
40	1000	3	10	04/28/22 03:38:45 PM	
41	1000	2	10	04/28/22 03:38:55 PM	
