Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	40	5	04/28/22 03:53:15 PM	
2	1000	55	5	04/28/22 03:53:20 PM	
3	1000	50	5	04/28/22 03:53:25 PM	
4	1000	48	5	04/28/22 03:53:31 PM	
5	1000	44	5	04/28/22 03:53:36 PM	
6	1000	46	5	04/28/22 03:53:41 PM	
7	1000	27	5	04/28/22 03:53:46 PM	
8	1000	36	5	04/28/22 03:53:51 PM	
9	1000	49	5	04/28/22 03:53:57 PM	
10	1000	38	5	04/28/22 03:54:02 PM	
11	1000	36	5	04/28/22 03:54:07 PM	
12	1000	41	5	04/28/22 03:54:12 PM	
13	1000	38	5	04/28/22 03:54:17 PM	
14	1000	40	5	04/28/22 03:54:22 PM	
15	1000	39	5	04/28/22 03:54:28 PM	
16	1000	45	5	04/28/22 03:54:33 PM	
17	1000	41	5	04/28/22 03:54:38 PM	
