Description	
Number of Runs	150
Preset Time	5
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	268	5	04/28/22 03:43:37 PM	
2	1000	239	5	04/28/22 03:43:42 PM	
3	1000	249	5	04/28/22 03:43:47 PM	
4	1000	260	5	04/28/22 03:43:53 PM	
5	1000	249	5	04/28/22 03:43:58 PM	
6	1000	266	5	04/28/22 03:44:03 PM	
7	1000	246	5	04/28/22 03:44:08 PM	
8	1000	300	5	04/28/22 03:44:13 PM	
9	1000	230	5	04/28/22 03:44:19 PM	
10	1000	272	5	04/28/22 03:44:24 PM	
11	1000	278	5	04/28/22 03:45:33 PM	
12	1000	280	5	04/28/22 03:45:38 PM	
13	1000	282	5	04/28/22 03:45:43 PM	
