Description	
Number of Runs	51
Preset Time	4
Pause Time	0
Alarm Level	0
High Voltage	700
Step Voltage	10
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	700	0	4	04/28/22 03:15:06 PM	
2	710	0	4	04/28/22 03:15:10 PM	
3	720	0	4	04/28/22 03:15:15 PM	
4	730	0	4	04/28/22 03:15:19 PM	
5	740	91	4	04/28/22 03:15:23 PM	
6	750	292	4	04/28/22 03:15:27 PM	
7	760	314	4	04/28/22 03:15:31 PM	
8	770	332	4	04/28/22 03:15:36 PM	
9	780	324	4	04/28/22 03:15:40 PM	
10	790	299	4	04/28/22 03:15:44 PM	
11	800	328	4	04/28/22 03:15:48 PM	
12	810	343	4	04/28/22 03:15:53 PM	
13	820	356	4	04/28/22 03:15:57 PM	
14	830	356	4	04/28/22 03:16:01 PM	
15	840	368	4	04/28/22 03:16:05 PM	
16	850	353	4	04/28/22 03:16:09 PM	
17	860	394	4	04/28/22 03:16:14 PM	
18	870	383	4	04/28/22 03:16:18 PM	
19	880	430	4	04/28/22 03:16:22 PM	
20	890	379	4	04/28/22 03:16:26 PM	
21	900	358	4	04/28/22 03:16:30 PM	
22	910	355	4	04/28/22 03:16:35 PM	
23	920	379	4	04/28/22 03:16:39 PM	
24	930	365	4	04/28/22 03:16:43 PM	
25	940	393	4	04/28/22 03:16:47 PM	
26	950	436	4	04/28/22 03:16:51 PM	
27	960	441	4	04/28/22 03:16:56 PM	
28	970	406	4	04/28/22 03:17:00 PM	
29	980	375	4	04/28/22 03:17:04 PM	
30	990	429	4	04/28/22 03:17:08 PM	
31	1000	440	4	04/28/22 03:17:13 PM	
32	1010	447	4	04/28/22 03:17:17 PM	
33	1020	432	4	04/28/22 03:17:21 PM	
34	1030	400	4	04/28/22 03:17:25 PM	
35	1040	470	4	04/28/22 03:17:29 PM	
36	1050	438	4	04/28/22 03:17:34 PM	
37	1060	448	4	04/28/22 03:17:38 PM	
38	1070	478	4	04/28/22 03:17:42 PM	
39	1080	479	4	04/28/22 03:17:46 PM	
40	1090	442	4	04/28/22 03:17:50 PM	
41	1100	467	4	04/28/22 03:17:55 PM	
42	1110	446	4	04/28/22 03:17:59 PM	
43	1120	471	4	04/28/22 03:18:03 PM	
44	1130	471	4	04/28/22 03:18:07 PM	
45	1140	473	4	04/28/22 03:18:11 PM	
46	1150	475	4	04/28/22 03:18:16 PM	
47	1160	496	4	04/28/22 03:18:20 PM	
48	1170	508	4	04/28/22 03:18:24 PM	
49	1180	463	4	04/28/22 03:18:28 PM	
50	1190	467	4	04/28/22 03:18:32 PM	
51	1200	525	4	04/28/22 03:18:37 PM	
