Description	
Number of Runs	47
Preset Time	4
Pause Time	0
Alarm Level	0
High Voltage	500
Step Voltage	15
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	500	0	4	04/28/22 03:08:39 PM	
2	515	0	4	04/28/22 03:08:44 PM	
3	530	0	4	04/28/22 03:08:48 PM	
4	545	0	4	04/28/22 03:08:52 PM	
5	560	0	4	04/28/22 03:08:56 PM	
6	575	0	4	04/28/22 03:09:00 PM	
7	590	0	4	04/28/22 03:09:05 PM	
8	605	0	4	04/28/22 03:09:09 PM	
9	620	0	4	04/28/22 03:09:13 PM	
10	635	0	4	04/28/22 03:09:17 PM	
11	650	0	4	04/28/22 03:09:21 PM	
12	665	0	4	04/28/22 03:09:25 PM	
13	680	0	4	04/28/22 03:09:30 PM	
14	695	0	4	04/28/22 03:09:34 PM	
15	710	0	4	04/28/22 03:09:38 PM	
16	725	0	4	04/28/22 03:09:42 PM	
17	740	0	4	04/28/22 03:09:46 PM	
18	755	0	4	04/28/22 03:09:51 PM	
19	770	114	4	04/28/22 03:09:55 PM	
20	785	156	4	04/28/22 03:09:59 PM	
21	800	147	4	04/28/22 03:10:03 PM	
22	815	175	4	04/28/22 03:10:07 PM	
23	830	177	4	04/28/22 03:10:12 PM	
24	845	178	4	04/28/22 03:10:16 PM	
25	860	187	4	04/28/22 03:10:20 PM	
26	875	217	4	04/28/22 03:10:24 PM	
27	890	198	4	04/28/22 03:10:28 PM	
28	905	200	4	04/28/22 03:10:32 PM	
29	920	181	4	04/28/22 03:10:37 PM	
30	935	208	4	04/28/22 03:10:41 PM	
31	950	194	4	04/28/22 03:10:45 PM	
32	965	189	4	04/28/22 03:10:49 PM	
33	980	196	4	04/28/22 03:10:53 PM	
34	995	234	4	04/28/22 03:10:58 PM	
35	1010	203	4	04/28/22 03:11:02 PM	
36	1025	202	4	04/28/22 03:11:06 PM	
37	1040	210	4	04/28/22 03:11:10 PM	
38	1055	216	4	04/28/22 03:11:15 PM	
39	1070	250	4	04/28/22 03:11:19 PM	
40	1085	215	4	04/28/22 03:11:23 PM	
41	1100	240	4	04/28/22 03:11:27 PM	
42	1115	210	4	04/28/22 03:11:31 PM	
43	1130	269	4	04/28/22 03:11:35 PM	
44	1145	202	4	04/28/22 03:11:40 PM	
45	1160	222	4	04/28/22 03:11:44 PM	
46	1175	222	4	04/28/22 03:11:48 PM	
47	1190	219	4	04/28/22 03:11:53 PM	
